NRI Institute of Information Science and Technology - [NIIST], Bhopal
Goa College of Pharmacy, Panji
Nandha College of Pharmacy - [NCP], Erode
Poona College of Pharmacy, Pune
Sethu Institute of Technology, Villupuram
Indian Institute of Management - [IIM], Raipur
Al- Ameen College of Pharmacy, Bangalore
Chirala Engineering College - [CECC], Prakasam
Amrita School of Medicine, Kochi
Kristu Jayanti College - [KJC], Bangalore
Jamia Hamdard University, New Delhi
Madras Medical College - [MMC], Chennai

Indian Institute of Management - [IIM], Ahmedabad
Indian Institute of Management - [IIM], Shillong
Sinhgad Institute of Pharmacy - [SIOP] Narhe, Pune
Indian Institute of Management - [IIMB], Bangalore
Indian Institute of Management - [IIMU], Udaipur
Amrita School of Pharmacy, Kochi
Indian Institute of Management - [IIM], Thiruchirapalli
Cambridge Institute of Technology - [CIT], Ranchi
PSG College of Pharmacy - [PSGCP], Coimbatore
MIT Academy of Engineering - [MITAOE] Alandi , Pune
Indian Institute of Management - [IIM], Lucknow
Xavier Labour Relations Institute - [XLRI], Jamshedpur
Indian Institute of Management - [IIMK], Kozhikode
Jamnalal Bajaj Institute of Management Studies -[JBIMS], Mumbai
Bharati Vidyapeeth College of Pharmacy, Kolhapur
Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai
SSM College of Engineering, Namakkal
National Institute of Industrial Engineering - [NITIE], Mumbai
Dr. B.C. Roy Engineering College - [BCREC], Durgapur
Delhi School of Professional Studies and Research - [DSPSR], New Delhi
Management Development Institute - [MDI], Gurgaon

Sri Venkateswara College of Engineering - [SVCE], Kanchipuram
Indian Institute of Foreign Trade - [IIFT], New Delhi
Institute of Management Technology - [IMT], Ghaziabad
International Management Institute - [IMI], New Delhi
Department of Management Studies, IIT Madras - [DoMS IIT Madras], Chennai
Vinod Gupta School of Management - [VGSoM], Kharagpur
Department of Management Studies IIT Delhi - [DMS IITD], New Delhi
Vinayaka Missions College of Pharmacy - [VMCP], Salem
Jeppiaar Maamallan Institute of Technology, Sriperumbudur
ITM University, School of Business, Gwalior
Sydenham Institute of Management Studies, Research & Entrepreneurship Education - [SIMSREE], Mumbai
Jabalpur Engineering College - [JEC], Jabalpur
Symbiosis Institute of Business Management - [SIBM], Pune
Malla Reddy Engineering College - [MREC], Hyderabad
Eastern Academy of Science & Technology - [EAST], Bhubaneswar
Dr Rajendra Prasad Government Medical College - [RPGMC], Kangra
MICA - The School of Ideas, Ahmedabad
Shree Dhanvantary Pharmacy College - [SDPC], Surat
T. A. Pai Management Institute - [TAPMI], Manipal
Great Lakes Institute of Management, Kanchipuram
GITAM School of International Business - [GSIB], Visakhapatnam


Institute of Rural Management - [IRMA], Anand
Maratha Mandal College of Pharmacy, Belgaum
Pragati Engineering College, East Godavari
IILM Institute for Higher Education Lodhi Road, New Delhi
Bharathidasan Institute of Management - [BIM], Thiruchirapalli
NET Pharmacy College, Raichur
RMD Engineering College - [RMDEC], Thiruvallur
Sri Ramachandra University, Chennai
Rajagiri College of Social Sciences - [RCSS], Cochin
Xavier Institute of Management - [XIMB], Bhubaneswar
KIET Group of Institutions - [KIET], Ghaziabad
Rajasthan College of engineering for Women - [RCEW], Jaipur
Prin. L. N. Welingkar Institute of Management Development & Research - [We School], Mumbai
Manipal Institute of Technology - [MIT], Manipal
National Institute of Agricultural Extension Management - [MANAGE], Hyderabad
K.J. Somaiya Medical College & Research Centre - [KJSMC], Mumbai
Indian Institute of Management - [IIMR], Ranchi
FORE School of Management - [FSM], New Delhi
Indian Institute of Management - [IIM], Rohtak
Institute for Financial Management & Research - [IFMR], Chittoor
Gitam Institute of Management - [GIM], Visakhapatnam


Kasturba Medical College - [KMC], Manipal
Goa Institute of Management - [GIM], North Goa
Jadavpur University, Kolkata
Manipal University - [MU], Manipal
Saveetha Engineering College - [SEC], Chennai
Lal Bahadur Shastri Institute of Management - [LBSIM], New Delhi
ABES Engineering College, Ghaziabad
Fortune Institute of International Business - [FIIB], New Delhi
L.D. College of Engineering - [LDCE], Ahmedabad
International Institute of Information Technology- [IIIT], Pune
Shri Vishnu Engineering College for Women - [SVECW], Bhimavaram
Sri Venkateswara College, New Delhi
Loyola Academy Degree and PG College, Secunderabad
B.R. Nahata College of Pharmacy - [BRNCP], Mandsaur
Sona College of Technology, Salem
Sri Ramakrishna Engineering College - [SREC], Coimbatore
Jaipuria Institute of Management - [JIM], Lucknow
HL College of Commerce - [HLCC], Ahmedabad
M.S. Ramaiah Institute of Management - [MSRIM], Bangalore
Sri Sukhmani Institute of Engineering and Technology - [SSIET], Mohali
Sri Balaji Society, Balaji Institute of Modern Management - [BIMM], Pune

TKR College of Engineering and Technology - [TKRCET], Hyderabad
Amrita School of Business - [ASB], Coimbatore
PSG Institute of Management - [PSGIM], Coimbatore
National Institute of Technology - [NIT] Meghalaya, Shillong
Hallmark Business School - [HBS], Thiruchirapalli
Xavier Institute of Social Service - [XISS], Ranchi
Walchand Institute of Technology - [WIT], Solapur
SCMS Cochin School of Business, Cochin
Ramjas College, New Delhi
National Law School of India University - [NLSIU], Bangalore
AR College of Pharmacy, Vallabh Vidyanagar
VNR Vignana Jyothi Institute of Engineering and Technology - [VNRVJIET], Hyderabad
Faculty of Law, University of Delhi, New Delhi
The West Bengal National University of Juridical Sciences - [NUJS], Kolkata
Manipal University,  Faculty of Architecture, Manipal
Shri Govindram Seksaria Institute of Technology and Science- [SGSITS], Indore
The National Law Institute University - [NLIU], Bhopal
Jaipuria Institute of Management - [JIM], Noida
ILS Law College - [ILS], Pune
Faculty of Law, Banaras Hindu University, Varanasi
National Law University - [NLUD], New Delhi

Amity Law School - [ALS], Noida
The Nitte Gulabi Shetty Memorial Institute of Pharmaceutical Sciences - [NGSMIPS], Mangalore
Ratnavel Subrahmaniam College of Engineering and Technology, Dindigul
Rajiv Gandhi National University of Law - [RGNUL], Patiala
Tatyasaheb Kore Institute of Engineering and Technology - [TKIET], Kolhapur
Jagannath International Management School - [JIMS] Kalkaji, New Delhi
Hidayatullah National Law University - [HNLU], Raipur
Army Institute of Law - [AIL], Mohali
Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT], Gandhi Nagar
Chanderprabhu Jain College of Higher Studies & School of Law, New Delhi
University college of Law, Osmania University, Hyderabad
Faculty of Law University of Calcutta, Kolkata
Pondicherry Engineering College - [PEC], Pondicherry
University College of Law Bangalore University, Bangalore
Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai
Asian Business School - [ABS], Noida
Tontadarya College of Engineering, Gadag
RC Patel Institute of Pharmacutical Education and Research - [RCPIPER], Dhule
North Maharashtra University Institute of Chemical Technology - [UICT], Jalgaon
Bangalore Institute of Legal Studies - [BILS], Bangalore
Sri Sai Ram Engineering College - [SSEC], Chennai

Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur
University of Petroleum and Energy Studies - [UPES], Dehradun
Shri Vishnu College of Pharmacy - [SVCP], Bhimavaram
South Calcutta Law College, Kolkata
Army Institute of Technology - [AIT], Pune
SCMS School of Engineering and Technology, Ernakulam
GRG School of Management Studies - [GRGSMS], Coimbatore
Abeda Inamdar Senior College, Pune
IILM Graduate School of Management, Greater Noida
Indus Business Academy - [IBA], Bangalore
Vishwakarma Institute of Technology - [VIT] Bibwewadi, Pune
GH Raisoni College of Engineering - [GHRCE], Nagpur
Acharya Institute of Technology - [AIT], Bangalore
Rajagiri Business School - [RBS], Kochi
Shri Ramdeo Baba Kamla Nehru Engineering College, Nagpur
VSB Engineering College - [VSBEC], Karur
Jagan Institute of Management Studies - [JIMS] Sector-5 Rohini, New Delhi
Seemanta Institute of Pharmaceutical Sciences - [SIPS], Mayurbhanj
Ghousia College of Engineering - [GCE], Ramanagar
Sikkim Manipal Institute of Technology - [SMIT], East Sikkim
Adi Shankara Institute of Engineering and Technology - [ASIET] Kalady, Ernakulam

Laljibhai Chaturbhai Institute of Technology - [LCIT], Ahmedabad
VVP Engineering College - [VVPEC], Rajkot
Anand Institute of Higher Technology - [AIHT], Chennai
Patel College of Science and Technology - [PCST], Bhopal
Global Business School - [GBS], Hubli
Entrepreneurship Development Institute of India - [EDI], Gandhi Nagar
National University of Advanced Legal Studies - [NUALS], Ernakulam
Indus Business Academy - [IBA], Greater Noida
